24.51,2.07,1504652400,
8.26,8.78,1504653300,
7.27,7.31,1504654200,
14.49,7.86,1504655100,
19.55,5.0,1504656000,
24.58,0.76,1504656900,
10.11,2.13,1504657800,
20.77,2.2,1504658700,
21.86,5.72,1504659600,
19.71,1.72,1504660500,
13.69,2.93,1504661400,
5.0,5.38,1504662300,
8.7,1.05,1504663200,
8.83,7.0,1504664100,
16.88,4.25,1504665000,
11.06,2.37,1504665900,
20.61,3.58,1504666800,
21.41,2.99,1504667700,
8.5,4.36,1504668600,
7.86,8.64,1504669500,
17.64,2.97,1504670400,
10.95,3.03,1504671300,
16.53,7.74,1504672200,
9.02,8.91,1504673100,
13.83,11.69,1504674000,
20.77,2.38,1504674900,
18.57,14.57,1504675800,
14.99,3.04,1504676700,
47.88,15.84,1504677600,
34.48,9.88,1504678500,
36.09,22.84,1504679400,
48.38,18.26,1504680300,
55.28,17.43,1504681200,
43.15,29.58,1504682100,
46.99,25.93,1504683000,
43.78,12.27,1504683900,
54.25,15.84,1504684800,
69.89,18.15,1504685700,
69.07,15.93,1504686600,
56.61,20.0,1504687500,
58.56,23.22,1504688400,
51.7,15.28,1504689300,
53.14,19.23,1504690200,
45.65,16.12,1504691100,
23.29,9.58,1504692000,
20.91,13.45,1504692900,
27.64,5.13,1504693800,
25.53,12.95,1504694700,
42.06,12.59,1504695600,
25.07,8.61,1504696500,
31.25,18.63,1504697400,
27.51,5.91,1504698300,
34.47,6.41,1504699200,
26.76,16.18,1504700100,
42.07,19.45,1504701000,
38.64,18.2,1504701900,
27.05,13.11,1504702800,
39.28,6.2,1504703700,
20.01,19.46,1504704600,
38.79,14.29,1504705500,
35.98,17.95,1504706400,
33.75,18.51,1504707300,
34.96,5.71,1504708200,
28.93,9.26,1504709100,
41.29,15.38,1504710000,
53.68,20.08,1504710900,
58.76,14.85,1504711800,
46.04,26.01,1504712700,
62.08,34.31,1504713600,
58.03,28.35,1504714500,
64.6,20.12,1504715400,
59.52,27.25,1504716300,
73.49,23.77,1504717200,
58.61,28.52,1504718100,
77.43,28.36,1504719000,
60.35,35.85,1504719900,
51.24,17.43,1504720800,
51.65,21.57,1504721700,
61.34,26.05,1504722600,
54.98,16.43,1504723500,
22.96,15.79,1504724400,
35.45,17.28,1504725300,
35.09,12.02,1504726200,
36.16,13.53,1504727100,
26.74,0.29,1504728000,
